phenotype,Gene,ontoma_mapping,ontoma_mapping_label,icd_mapping,icd_mapping_label,top_assoc_mapping,top_assoc_mapping_label
40006#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,SRSF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40006#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
40006#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,,,EFO_0000589,metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,,,OTAR_0000020,nutritional or metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,EFO_1000062,lactose intolerance,EFO_0000589,metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,EFO_1000062,lactose intolerance,OTAR_0000020,nutritional or metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,HP_0004371,Abnormality of glycosaminoglycan metabolism,EFO_0000589,metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,HP_0004371,Abnormality of glycosaminoglycan metabolism,OTAR_0000020,nutritional or metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,EFO_0009556,mineral metabolism disease,EFO_0000589,metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,EFO_0009556,mineral metabolism disease,OTAR_0000020,nutritional or metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,Orphanet_586,Cystic fibrosis,EFO_0000589,metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,Orphanet_586,Cystic fibrosis,OTAR_0000020,nutritional or metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,EFO_1001875,amyloidosis,EFO_0000589,metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,EFO_1001875,amyloidosis,OTAR_0000020,nutritional or metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,HP_0011106,Hypovolemia,EFO_0000589,metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,HP_0011106,Hypovolemia,OTAR_0000020,nutritional or metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,HP_0001939,Abnormality of metabolism/homeostasis,EFO_0000589,metabolic disease
Union#BlockE70-E90#E70-E90 Metabolic disorders,LDLR,EFO_0000589,metabolic disease,HP_0001939,Abnormality of metabolism/homeostasis,OTAR_0000020,nutritional or metabolic disease
41200#C751#C75.1 Insertion of prosthetic replacement for lens NEC,MIP,,,,,MONDO_0024458,disease of visual system
41200#C751#C75.1 Insertion of prosthetic replacement for lens NEC,MIP,,,,,EFO_0003966,eye disease
Union#D132#D13.2 Duodenum,APC,,,,,MONDO_0045024,cancer or benign tumor
Union#D131#D13.1 Stomach,APC,,,MONDO_0021449,benign neoplasm of stomach,MONDO_0045024,cancer or benign tumor
41200#C75#C75 Prosthesis of lens,MIP,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
41200#C75#C75 Prosthesis of lens,MIP,,,,,MONDO_0024458,disease of visual system
41200#C75#C75 Prosthesis of lens,MIP,,,,,EFO_0003966,eye disease
41272#C75#C75 Prosthesis of lens,MIP,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
41272#C75#C75 Prosthesis of lens,MIP,,,,,MONDO_0024458,disease of visual system
41272#C75#C75 Prosthesis of lens,MIP,,,,,EFO_0003966,eye disease
41202#H26#H26 Other cataract,MIP,MONDO_0005129,cataract,,,OTAR_0000006,musculoskeletal or connective tissue disease
41202#H26#H26 Other cataract,MIP,MONDO_0005129,cataract,,,MONDO_0024458,disease of visual system
41202#H26#H26 Other cataract,MIP,MONDO_0005129,cataract,,,EFO_0003966,eye disease
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,MONDO_0004847,senile cataract,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,MONDO_0004847,senile cataract,MONDO_0024458,disease of visual system
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,MONDO_0004847,senile cataract,EFO_0003966,eye disease
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,MONDO_0005129,cataract,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,MONDO_0005129,cataract,MONDO_0024458,disease of visual system
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,MONDO_0005129,cataract,EFO_0003966,eye disease
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,EFO_0009674,lens disease,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,EFO_0009674,lens disease,MONDO_0024458,disease of visual system
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,EFO_0009674,lens disease,EFO_0003966,eye disease
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,,,MONDO_0024458,disease of visual system
Union#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,,,EFO_0003966,eye disease
20002#1079#cardiomyopathy,TTN,EFO_0000318,cardiomyopathy,,,OTAR_0000006,musculoskeletal or connective tissue disease
20002#1079#cardiomyopathy,TTN,EFO_0000318,cardiomyopathy,,,OTAR_0000010,respiratory or thoracic disease
41202#D132#D13.2 Duodenum,APC,,,,,MONDO_0045024,cancer or benign tumor
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A6,,,,,EFO_0000508,genetic disorder
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A6,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A6,,,,,EFO_0000589,metabolic disease
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A6,,,,,OTAR_0000020,nutritional or metabolic disease
40011#9823#Chronic lymphocytic leukemia|small lymphocytic lymphoma,IGLL5,EFO_0000095,chronic lymphocytic leukemia,,,EFO_0000540,immune system disease
41272#M293#M29.3 Endoscopic removal of tubal prosthesis from ureter,PKD1,,,,,EFO_0009690,urinary system disease
41202#C78#C78 Secondary malignant neoplasm of respiratory and digestive organs,BRCA2,EFO_0009812,secondary malignant neoplasm,,,MONDO_0045024,cancer or benign tumor
Union#Q12#Q12 Congenital lens malformations,MIP,HP_0000517,Abnormality of the lens,,,MONDO_0024458,disease of visual system
Union#Q12#Q12 Congenital lens malformations,MIP,HP_0000517,Abnormality of the lens,,,EFO_0003966,eye disease
40006#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,,,MONDO_0045024,cancer or benign tumor
40006#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,,,MONDO_0023370,neoplastic disease or syndrome
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A8,,,,,EFO_0000508,genetic disorder
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A8,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A8,,,,,EFO_0000589,metabolic disease
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A8,,,,,OTAR_0000020,nutritional or metabolic disease
Union#H409#H40.9 Glaucoma| unspecified,MYOC,EFO_0000516,glaucoma,EFO_0000516,glaucoma,MONDO_0024458,disease of visual system
40001#ChapterII#Chapter II Neoplasms,SRSF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40001#ChapterII#Chapter II Neoplasms,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
40001#ChapterII#Chapter II Neoplasms,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
41272#Z75#Z75 Bone of pelvis,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
41272#Z75#Z75 Bone of pelvis,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
41200#X33#X33 Other blood transfusion,SRSF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41200#X33#X33 Other blood transfusion,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
41200#X33#X33 Other blood transfusion,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
41202#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
41202#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,,,MONDO_0024458,disease of visual system
41202#BlockH25-H28#H25-H28 Disorders of lens,MIP,,,,,EFO_0003966,eye disease
41272#B291#B29.1 Reconstruction of breast using myocutaneous flap of latissimus dorsi muscle,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
41202#Z421#Z42.1 Follow-up care involving plastic surgery of breast,BRCA1,,,,,MONDO_0045024,cancer or benign tumor
41200#L743#L74.3 Attention to arteriovenous shunt,PKD1,,,,,EFO_0009690,urinary system disease
41200#M293#M29.3 Endoscopic removal of tubal prosthesis from ureter,PKD1,,,,,EFO_0009690,urinary system disease
40011#2#(8010-8790) Epithelial,BRCA1,,,,,MONDO_0045024,cancer or benign tumor
40011#2#(8010-8790) Epithelial,BRCA1,,,,,EFO_0009690,urinary system disease
Union#T82#T82 Complications of cardiac and vascular prosthetic devices| implants and grafts,PKD1,,,EFO_0009519,device complication,EFO_0009690,urinary system disease
41202#H269#H26.9 Cataract| unspecified,MIP,MONDO_0005129,cataract,,,OTAR_0000006,musculoskeletal or connective tissue disease
41202#H269#H26.9 Cataract| unspecified,MIP,MONDO_0005129,cataract,,,MONDO_0024458,disease of visual system
41202#H269#H26.9 Cataract| unspecified,MIP,MONDO_0005129,cataract,,,EFO_0003966,eye disease
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A6,,,,,EFO_0000508,genetic disorder
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A6,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A6,,,,,EFO_0000589,metabolic disease
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A6,,,,,OTAR_0000020,nutritional or metabolic disease
41202#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,,,MONDO_0024458,disease of visual system
41202#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,,,EFO_0003966,eye disease
41272#M13#M13 Percutaneous puncture of kidney,PKD1,,,,,EFO_0009690,urinary system disease
2453#Cancer diagnosed by doctor,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
Union#H269#H26.9 Cataract| unspecified,MIP,MONDO_0005129,cataract,,,MONDO_0024458,disease of visual system
Union#H269#H26.9 Cataract| unspecified,MIP,MONDO_0005129,cataract,,,EFO_0003966,eye disease
41202#Q12#Q12 Congenital lens malformations,MIP,HP_0000517,Abnormality of the lens,,,MONDO_0024458,disease of visual system
41202#Q12#Q12 Congenital lens malformations,MIP,HP_0000517,Abnormality of the lens,,,EFO_0003966,eye disease
20001#1059#malignant melanoma,CDKN2A,EFO_0000756,melanoma,,,MONDO_0045024,cancer or benign tumor
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A5,,,,,EFO_0000508,genetic disorder
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A5,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A5,,,,,EFO_0000589,metabolic disease
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A5,,,,,OTAR_0000020,nutritional or metabolic disease
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A8,,,,,EFO_0000508,genetic disorder
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A8,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A8,,,,,EFO_0000589,metabolic disease
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A8,,,,,OTAR_0000020,nutritional or metabolic disease
41202#I780#I78.0 Hereditary haemorrhagic telangiectasia,ACVRL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#I780#I78.0 Hereditary haemorrhagic telangiectasia,ACVRL1,,,,,EFO_0000319,cardiovascular disease
20002#1462#crohns disease,NOD2,EFO_0000384,Crohn's disease,,,EFO_0000540,immune system disease
41200#ChapterC#Chapter C - Eye,MIP,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
41200#ChapterC#Chapter C - Eye,MIP,,,,,MONDO_0024458,disease of visual system
41200#ChapterC#Chapter C - Eye,MIP,,,,,EFO_0003966,eye disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,MONDO_0005147,type 1 diabetes mellitus,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,Orphanet_1667,Wolcott-Rallison syndrome,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,Orphanet_28455,Pancreatic beta cell agenesis with neonatal diabetes mellitus,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,EFO_0000400,diabetes mellitus,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,MONDO_0005148,type 2 diabetes mellitus,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,Orphanet_2298,Insulin-resistance syndrome type B,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,Orphanet_66518,Short fifth metacarpals - insulin resistance,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,Orphanet_181368,Rare insulin-resistance syndrome,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,Orphanet_2297,Insulin-resistance syndrome type A,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,,,EFO_0001379,endocrine system disease
Union#BlockE10-E14#E10-E14 Diabetes mellitus,GCK,EFO_0000400,diabetes mellitus,Orphanet_769,Rabson-Mendenhall syndrome,EFO_0001379,endocrine system disease
41272#ChapterC#Chapter C - Eye,MIP,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
41272#ChapterC#Chapter C - Eye,MIP,,,,,MONDO_0024458,disease of visual system
41272#ChapterC#Chapter C - Eye,MIP,,,,,EFO_0003966,eye disease
41272#X70#X70 Procurement of drugs for chemotherapy for neoplasm in Bands 1-5,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0012701,cataract 12 multiple types,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0012701,cataract 12 multiple types,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0013411,cataract 16 multiple types,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0013411,cataract 16 multiple types,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0007290,cataract 5 multiple types,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0007290,cataract 5 multiple types,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0007289,cataract 13 with adult I phenotype,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0007289,cataract 13 with adult I phenotype,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0020379,early-onset zonular cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,MONDO_0020379,early-onset zonular cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_217052,Early-onset non-syndromic cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_217052,Early-onset non-syndromic cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_162,Cataract-glaucoma,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_162,Cataract-glaucoma,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_91492,Non-syndromic congenital cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_91492,Non-syndromic congenital cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98994,Total congenital cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98994,Total congenital cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98986,Coppock-like cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98986,Coppock-like cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98991,Nuclear cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98991,Nuclear cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98995,Zonular cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98995,Zonular cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98992,Partial congenital cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98992,Partial congenital cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98983,"Congenital cataract, Volkmann type",MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98983,"Congenital cataract, Volkmann type",EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98993,Posterior polar cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98993,Posterior polar cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98987,"Cataract, Hutterite type",MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98987,"Cataract, Hutterite type",EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98984,Pulverulent cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98984,Pulverulent cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98985,Cataract with Y-shaped suture opacities,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98985,Cataract with Y-shaped suture opacities,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98988,Anterior polar cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98988,Anterior polar cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98989,Cerulean cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98989,Cerulean cataract,EFO_0003966,eye disease
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98990,Coralliform cataract,MONDO_0024458,disease of visual system
Union#Q120#Q12.0 Congenital cataract,MIP,HP_0000519,,Orphanet_98990,Coralliform cataract,EFO_0003966,eye disease
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A5,,,,,EFO_0000508,genetic disorder
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A5,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A5,,,,,EFO_0000589,metabolic disease
Union#E80#E80 Disorders of porphyrin and bilirubin metabolism,UGT1A5,,,,,OTAR_0000020,nutritional or metabolic disease
40006#BlockC50-C50#C50-C50 Malignant neoplasm of breast,CHEK2,,,,,MONDO_0045024,cancer or benign tumor
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),MONDO_0024574,von Willebrand disease (hereditary or acquired),OTAR_0000018,"genetic, familial or congenital disease"
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),Orphanet_903,Von Willebrand disease,OTAR_0000018,"genetic, familial or congenital disease"
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),Orphanet_166078,Von Willebrand disease type 1,OTAR_0000018,"genetic, familial or congenital disease"
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),Orphanet_166084,Von Willebrand disease type 2A,OTAR_0000018,"genetic, familial or congenital disease"
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),Orphanet_166090,Von Willebrand disease type 2M,OTAR_0000018,"genetic, familial or congenital disease"
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),Orphanet_166096,Von Willebrand disease type 3,OTAR_0000018,"genetic, familial or congenital disease"
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),Orphanet_166081,Von Willebrand disease type 2,OTAR_0000018,"genetic, familial or congenital disease"
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),Orphanet_166093,Von Willebrand disease type 2N,OTAR_0000018,"genetic, familial or congenital disease"
Union#D680#D68.0 Von Willebrand's disease,VWF,MONDO_0024574,von Willebrand disease (hereditary or acquired),Orphanet_166087,Von Willebrand disease type 2B,OTAR_0000018,"genetic, familial or congenital disease"
40006#C50#C50 Malignant neoplasm of breast,CHEK2,MONDO_0007254,breast cancer,,,MONDO_0045024,cancer or benign tumor
41272#B37#B37 Other operations on breast,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
41272#ChapterB#Chapter B - Endocrine System and Breast,BRCA1,,,,,MONDO_0045024,cancer or benign tumor
Union#C18#C18 Malignant neoplasm of colon,MSH6,MONDO_0021063,malignant colon neoplasm,MONDO_0021063,malignant colon neoplasm,MONDO_0045024,cancer or benign tumor
Union#C18#C18 Malignant neoplasm of colon,MSH6,MONDO_0021063,malignant colon neoplasm,Orphanet_99817,Non-polyposis Turcot syndrome,MONDO_0045024,cancer or benign tumor
40006#C911#C91.1 Chronic lymphocytic leukaemia,IGLL5,,,,,EFO_0000540,immune system disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,EFO_1000648,developmental dysplasia of the hip,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,HP_0001760,Abnormal foot morphology,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,EFO_0005541,bone development disease,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,MONDO_0021003,polydactyly,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,Orphanet_2913,Polydactyly,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,MONDO_0021002,syndactyly,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,Orphanet_90025,Syndactyly,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,Orphanet_2130,Hemimelia,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ65-Q79#Q65-Q79 Congenital malformations and deformations of the musculoskeletal system,COL1A1,,,EFO_0005571,osteochondrodysplasia,OTAR_0000006,musculoskeletal or connective tissue disease
Union#I509#I50.9 Heart failure| unspecified,TTN,EFO_0003144,heart failure,EFO_0000373,congestive heart failure,OTAR_0000006,musculoskeletal or connective tissue disease
2443#Diabetes diagnosed by doctor,GCK,,,,,EFO_0001379,endocrine system disease
Union#I42#I42 Cardiomyopathy,MYBPC3,EFO_0000318,cardiomyopathy,EFO_0000318,cardiomyopathy,OTAR_0000006,musculoskeletal or connective tissue disease
Union#I42#I42 Cardiomyopathy,MYBPC3,EFO_0000318,cardiomyopathy,EFO_0000318,cardiomyopathy,OTAR_0000010,respiratory or thoracic disease
20001#1020#large bowel cancer|colorectal cancer,MSH2,EFO_1001951,colorectal carcinoma,,,MONDO_0045024,cancer or benign tumor
Union#ChapterVII#Chapter VII Diseases of the eye and adnexa,MIP,,,,,MONDO_0024458,disease of visual system
Union#ChapterVII#Chapter VII Diseases of the eye and adnexa,MIP,,,,,EFO_0003966,eye disease
41202#I780#I78.0 Hereditary haemorrhagic telangiectasia,ENG,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#I780#I78.0 Hereditary haemorrhagic telangiectasia,ENG,,,,,EFO_0000319,cardiovascular disease
41272#B276#B27.6 Skin sparing mastectomy,BRCA1,,,,,MONDO_0045024,cancer or benign tumor
